id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48166414,"RINO Luxury Apt walk 2 stadium, shops, restaurants",40218958,El,,Five Points,39.75793499518187,-104.98545423345993,Entire home/apt,77,29,15,2024-08-19,0.33,1,49,3,
48168163,Tiny Urban Overlook,12978479,Cam,,Mar Lee,39.68961,-105.04031,Entire home/apt,,29,106,2023-07-27,2.28,1,0,0,2020-BFN-0005967
48171228,Private room in Denver,386796091,Rubia,,Gateway - Green Valley Ranch,39.79089,-104.76156,Private room,28,1,40,2024-10-30,1.69,2,358,14,2022-BFN-0001904
48185431,Modern Home in Denver's Hot LoHi Neighborhood,121770068,Aleah,,Highland,39.76583,-105.00046,Entire home/apt,642,3,50,2024-12-10,1.15,1,164,18,2020-BFN-0002090
48195495,"Stylish 2 Bdrm Condo, heart of Denver",60150316,Wesley,,North Capitol Hill,39.74611,-104.98118,Entire home/apt,100,29,2,2022-09-03,0.05,1,326,0,
48195558,Private Hot Tub! Stunning updated condo!,124761061,Nicole,,Harvey Park South,39.66003,-105.053,Entire home/apt,122,1,299,2024-12-13,6.38,1,154,58,2021-BFN-0000778
48199049,Tennyson One Bedroom Stand-Alone Guesthouse,19876623,Christopher,,Berkeley,39.77365,-105.05179,Entire home/apt,99,1,156,2024-11-30,3.41,1,295,42,2021-BFN-0000786
48199440,Modern Guesthouse in the  Heart of RINO,362968552,Ashley,,Five Points,39.76489,-104.97548,Entire home/apt,128,2,233,2024-11-24,5.18,1,170,59,2023-BFN-0009239
48273340,Cozy Monthly Furnished Studio Few Blocks Frm Dtown,338377982,Antoine,,Baker,39.71555,-104.99152,Entire home/apt,40,29,12,2024-11-22,0.27,8,328,2,
48281268,Cozy RiNo Suite for Denver Adventures,11233192,Marla,,Cole,39.76957,-104.97169,Entire home/apt,94,29,221,2024-11-04,4.76,1,105,35,2020-BFN-0005789
48296152,Cozy & Modern Luxurious 1 bedroom Guest Suite,372227538,Shannon,,Highland,39.76637,-105.01875,Entire home/apt,111,1,366,2024-12-27,7.97,2,230,100,2021-BFN-0000949
48314563,Downtown Denver Location Perfect for Work or Play,354894350,Jason,,Five Points,39.74911,-104.97914,Entire home/apt,90,30,4,2023-08-28,0.10,1,365,0,
48317465,Updated Capitol Hill Victorian,290230837,Marsa,,Capitol Hill,39.73704,-104.9795,Entire home/apt,65,90,3,2024-04-28,0.11,5,244,1,
48327627,3 Bedroom Urban Condo- Spacious and Open,222445795,Laurie,,West Colfax,39.73496,-105.03944,Entire home/apt,115,30,11,2024-07-22,0.25,1,363,1,
48329565,Denver Flat w/Amazing Walkability & Roof Top Patio,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,153,1,71,2024-09-21,1.55,17,353,5,2021-BFN-0000780
48332832,Cheesman Park Guest Suite with Private Entrance,19537651,Andrew,,Cheesman Park,39.73854,-104.96617,Entire home/apt,97,2,218,2024-12-29,4.68,1,32,56,2020-BFN-0005948
48344344,Modern Flat w/ Mtn Views & Private Balcony!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,191,1,50,2024-11-20,1.10,17,348,8,2021-BFN-0000780
48345449,Stylish Flat! Amazing Walkability on Tennyson!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,144,1,84,2024-09-18,1.83,17,351,5,2021-BFN-0000780
48348488,Cozy Guesthouse Close to RiNo & Downtown,5539480,Andrea,,Clayton,39.76765,-104.9551,Entire home/apt,,2,113,2024-12-05,2.44,1,87,54,2021-BFN-0001285
48368569,Rabbit Hill,390443514,Rhonda,,Southmoor Park,39.65247,-104.92255,Entire home/apt,150,1,19,2024-08-14,0.79,1,364,9,2024-BFN-0003763
48398931,Lohi Luxury Lodge. Heart of Denver.,109144183,Allyson,,Highland,39.76287,-105.02011,Entire home/apt,195,1,162,2024-11-11,3.49,1,266,28,2024-BFN-0009153
48405300,Private 2 bedrooms unit with kitchen in Santa Fe,203311056,Nick,,Baker,39.721,-104.99711,Entire home/apt,100,1,159,2024-12-08,3.44,1,177,32,2021-BFN-0001273
48413960,Brand new and contemporary Denver home,94640530,Gudeta,,Stapleton,39.80969,-104.87539,Entire home/apt,185,29,0,,,1,365,0,
48416934,Luxurious Flat w/ Private Balcony & Rooftop Patio!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,164,1,45,2024-07-07,0.98,17,356,1,2021-BFN-0000780
48420311,Brand New Condo Beautiful Light and Mountain Views,3397841,Karen,,Overland,39.68134,-104.98875,Entire home/apt,114,30,11,2024-08-31,0.26,2,342,2,
48421774,"1hr to Ski! Walk Highlands Studio, Low clean fee.",390838205,Jill,,Berkeley,39.77252,-105.0487,Entire home/apt,139,2,47,2024-11-09,1.42,1,180,14,2022-BFN-0002596
48423750,Downtown Townhouse/Loft in RiNo/Curtis Park,9524940,Dillon,,Five Points,39.75324,-104.9841,Entire home/apt,268,2,70,2024-12-18,1.57,3,272,34,2023-BFN-0005618
48427739,Spacious Master Suite:  Pvt Bath & Private,32462499,Mariana,,Hampden,39.66713,-104.87233,Private room,45,30,6,2024-12-12,0.14,6,139,2,
48429847,Upscale Flat! Roof Top Patio w/Mtn Views!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,,1,59,2024-10-18,1.33,17,354,8,2021-BFN-0000780
48429941,Luxurious 2/1 in Denver w/Rooftop Deck!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,170,1,72,2024-08-28,1.57,17,357,7,2021-BFN-0000780
48430010,Stylish Denver Flat w/Luxury Finishes & Bedding!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,144,1,68,2024-03-05,1.65,17,362,2,2021-BFN-0000780
48430071,Walk to Restaurants/Shops & More from Modern Flat!,390107054,The Berkeley,,Berkeley,39.77356,-105.04353,Entire home/apt,158,1,112,2024-09-29,2.43,17,348,11,2021-BFN-0000780
